COTTON ROPE 12 MM,Nos
TARPAL 50 X 50 ORANGE,Nos
MAKITA AIR BLOWER Model no DUB184RT,Nos
"COMBINATION PLIER RUBBER GRIP 8"" TAPARIA",Nos
ELECTRICAL TESTER 100-500V 813 YELLOW TAPARIA INDIA,Nos
CABLE TIE 450*4.8 BLACK GOWEL,Nos
chlorine Powder chemical 50 KG,Nos
chlorine Tika Tablet 50 KG,Nos
chlorine liquid and ph. liquid 250 ml each bottle,Nos
HARDWARE GARBAGE BAGS 95 X 120CM (15KG),Nos
"PH Enhancer, Soda Ash/Sodium Carbonate 25kgs",Nos
Refined salt 25 kg,Nos
Plastic Rack with Handle,Nos
"AQUA ABS OVERFLOW STRAIGHT SKIMMER. Liner, CODE: 200200003",Nos
"Green Mesh 2mtr X 50mtr, Roll",Nos
Bambo Stick Hight 3 meter,Nos
JACUZZI PUSH BUTTON,Nos
HUNTER IRRIGATION TIMER 8 STATION,Nos
CHEMICALS ALLUMINIUM SULPHATE (50kg),Nos
INSULATION TAPER UNDERWATER 30FT IP,Roll
"2"" HP ELBLOW PVC ATLAS",Nos
CONTROL PANEL FOR IRRIGATION TIMER,Nos
PVC FLEXIBLE CONDUIT PIPE 20MM -40MTR BLACK ROLL,Mtr
TRANKING 10x10,Nos
"DRYWALL SCREW 6X1.5""FINE BLACK",Nos
COCONUT CLEANING BRUSH,Nos
SOFT CLEANING BRUSH,Nos
"4"" EXHAUST FAN ROUND",Nos
25MM CONDUIT ADAPTOR,Nos
HEATINGS SYSTEM HEAT 45KW C 30KW ASTRAL AHP-100,Nos
FILTRATION PUMPS V PLUS SILENT 2HP II ASTRAL,Nos
SAND FILTER TOP MOUNT 650MM,Nos
POOL FILTER SILICA SAND BROWN 25KG KSA,Nos
SUBMERSIBLE PUMP 0.75HP SS,Nos
POOL DECK BOX (12) 13*13 ASTRAL 30825,Nos
"2"" POOL INLET SS",Nos
"2"" POOL VACCUM SS",Nos
ASTRAL WATER LEVEL REGULATOR FLOAT VALVE,Nos
IRRIGATION PUMP EBARA 2HP E-2HP,Nos
ELECTRIC FITTINGES PANEL BOX (20) P-BOX,Nos
"IRRIGATION GREEN VALVE BOX JUMBO METTS 12""",Nos
ELECTRICALS TRUNKING VETO 50*50,Nos
"IRRIGATION GLOBE SOLINOID VALVE HUNTER S-1""(20)",Nos
"PVC FITTING N SOCKET FARIS NS-1"" (140)",Nos
"PVC FITTING FEMALE SOCKET (220) ATLAS FS-1""",Nos
"P V C FITTING UNION(30) FARIS U-1""",Nos
"PVC UNION BALL VALVE 1"" (18) ATLAS",Nos
"IRRIGATION COMPRESSION 16MM1/2"" MALE ADAPTOR 900",Nos
"PVC PIPE ATLAS P-1"" - 6M LENGHT",Mtr
"PVC VALVE NRV 1""(10) CEPEX 09112",Nos
IRRIGATION TIMER 6 STATION HUNTER,Nos
"SANDFILTER 750MM TOP 2"" ASTRAL 33847",Nos
FILTRATION PUMPS 1HP SENA ASTRAL 25465,Nos
SANDFILTER CANTRABRIC TOP 500 ASTRAL 15780,Nos
FILTRATION PUMPS 3/4 ASTRAL 25463,Nos
FILTRATION PUMPS V PLUS SILEENT 3HP II ASTRAL 65569H,Nos
HEATING SYSTEM HEATER 6KW,Nos
SUBMERSIBLE PUMP 1HP PLASTIC BODY SPAINO POLO 100,Nos
SPAREPARAT AIR BLOWER 1.5HP ASTRAL 06863,Nos
"IRRIGATION SPRINKLERS 15A 4"" RAIN BIRD US415 (50)",Nos
"IRRIGATION MATERIAL TEE T-13*1/2"" (800)",Nos
"IRRIGATION STRAIGHT CONECTOR(1000) SC-13*1/2""",Nos
IRRIGATION L CONECTORS 1/2*13MM (600) LC-1/2*13,Nos
"PVC PIPE ATLAS P-1"" - 6M LENGHT",Mtr
"PVC FITTING SOCKET FARIS S-1"" (300)",Nos
PVC FITTING F R BUSH FARIS FRB-1*1/2 (75),Nos
"IRRIGATION GLOBE SOLINOID VALVE HUNTER S-1""(20)",Nos
"PVC UNION BALL VALVE 1"" (18) ATLAS",Nos
"IRRIGATION VALVE BOX 15.2CMX24.3CMX22.9CM(HT) FITCO 6"" (25)",Nos
"PVC FITTING ELBOW FARIS E-1"" (225)",Nos
"PVC FITTING TEE FARIS T-1"" (150",Nos
"POOL ACCESSORIES GUTTER DRAIN 2"" AQUA 22-F-198 (12)",Nos
"POOL SS 316 WALL INLET CONCRETE 2"" (F-219A)",Nos
"POOL SS 316L VACCUM CONCRETE 2"" F-240/A",Nos
POOL ABS FRAME 300*300 AQUA F-152,Nos
